scenario_id,timestamp,zone,gas_level,temperature,pressure,ventilation,hot_work,maintenance,confined_space_entry,environmental_risk_score,incident_type,risk_score,confidence_score,time_to_escalation,risk_factors,recommended_actions
3141,2026-07-12 05:40:00,Zone A,4.57,23.85,70.75,90.25,0,0,0,27.23,Safe,27.23,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3142,2026-07-12 05:45:00,Zone A,77.76,31.46,47.66,70.71,1,0,0,46.54,Gas Ignition,86.54,85,14 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3143,2026-07-12 05:50:00,Zone B,12.18,32.22,45.79,89.74,0,0,0,25.11,Safe,25.11,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3144,2026-07-12 05:55:00,Zone C,6.27,35.15,66.0,79.18,0,0,0,32.06,Safe,32.06,50,3 Hours 52 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3145,2026-07-12 06:00:00,Zone B,7.23,12.91,48.45,83.03,0,0,1,21.39,Safe,26.39,50,4+ Hours,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
3146,2026-07-12 06:05:00,Zone C,18.32,84.4,86.16,91.1,0,1,0,49.44,Explosion,99.44,90,10 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3147,2026-07-12 06:10:00,Zone B,6.75,17.17,65.62,70.38,0,0,0,29.79,Safe,29.79,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3148,2026-07-12 06:15:00,Zone C,3.63,31.57,30.65,91.5,0,1,1,18.59,Safe,28.59,60,4+ Hours,"[""Active Maintenance Activity"", ""Confined Space Entry Active""]","[""Immediate suspension of active maintenance permits in Zone"", ""Trigger alarm lights outside confined space entryway""]"
3149,2026-07-12 06:20:00,Zone B,9.71,44.97,60.11,34.88,0,0,0,44.98,Safe,44.98,50,2 Hours 11 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3150,2026-07-12 06:25:00,Zone C,6.89,80.27,81.95,63.98,0,0,0,51.28,Explosion,96.28,85,10 Minutes,"[""High Temperature"", ""High Pressure""]","[""Emergency relief valve activation"", ""Emergency cooling line engagement""]"
3151,2026-07-12 06:30:00,Zone B,9.58,55.55,45.54,86.74,1,0,0,30.98,Safe,35.98,50,2 Hours 11 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3152,2026-07-12 06:35:00,Zone C,75.64,36.82,32.44,75.54,1,0,0,42.34,Gas Ignition,82.34,75,56 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3153,2026-07-12 06:40:00,Zone C,11.92,87.76,84.44,69.76,0,1,0,53.59,Explosion,100.0,90,14 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3154,2026-07-12 06:45:00,Zone C,4.88,61.69,40.81,89.6,0,0,0,29.45,Safe,29.45,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3155,2026-07-12 06:50:00,Zone A,89.13,32.8,30.35,79.51,1,0,0,43.19,Gas Ignition,83.19,75,53 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3156,2026-07-12 06:55:00,Zone A,2.82,55.54,49.07,91.74,0,0,0,28.93,Safe,28.93,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3157,2026-07-12 07:00:00,Zone C,10.93,58.29,67.34,77.37,0,0,0,39.8,Safe,39.8,50,2 Hours 50 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3158,2026-07-12 07:05:00,Zone C,5.33,26.46,95.73,61.51,0,0,0,41.51,Safe,41.51,50,2 Hours 34 Minutes,"[""High Pressure""]","[""Emergency relief valve activation""]"
3159,2026-07-12 07:10:00,Zone A,94.41,36.01,60.01,71.72,1,0,0,54.68,Gas Ignition,94.68,85,28 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3160,2026-07-12 07:15:00,Zone A,11.28,31.26,90.49,95.59,0,0,0,34.36,Safe,34.36,50,3 Hours 59 Minutes,"[""High Pressure""]","[""Emergency relief valve activation""]"
3161,2026-07-12 07:20:00,Zone C,3.38,35.76,63.6,38.21,0,0,0,41.13,Safe,41.13,50,2 Hours 37 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3162,2026-07-12 07:25:00,Zone B,13.18,27.67,70.13,90.04,0,1,0,30.24,Safe,35.24,50,3 Hours 23 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3163,2026-07-12 07:30:00,Zone B,27.9,31.42,62.23,76.16,0,0,0,36.35,Safe,36.35,50,2 Hours 52 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3164,2026-07-12 07:35:00,Zone A,70.8,40.56,59.73,91.49,1,0,1,44.9,Gas Ignition,89.9,90,26 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3165,2026-07-12 07:40:00,Zone B,16.33,42.44,29.3,45.02,0,0,0,35.76,Safe,35.76,50,2 Hours 18 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3166,2026-07-12 07:45:00,Zone A,74.75,26.49,51.71,18.98,0,0,0,58.49,Toxic Exposure,88.49,85,20 Minutes,"[""High Gas Levels"", ""Reduced Ventilation""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)""]"
3167,2026-07-12 07:50:00,Zone B,9.12,45.66,58.84,54.5,0,0,0,39.78,Safe,39.78,50,3 Hours 4 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3168,2026-07-12 07:55:00,Zone A,10.94,78.91,67.59,73.91,0,0,0,45.88,Safe,45.88,50,2 Hours 16 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3169,2026-07-12 08:00:00,Zone A,10.54,44.25,47.1,89.5,0,0,0,28.1,Safe,28.1,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3170,2026-07-12 08:05:00,Zone A,3.68,69.42,36.27,80.23,0,1,0,32.28,Safe,37.28,50,3 Hours 17 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3171,2026-07-12 08:10:00,Zone C,42.05,80.06,76.71,72.04,0,1,0,56.7,Explosion,100.0,85,21 Minutes,"[""High Temperature"", ""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3172,2026-07-12 08:15:00,Zone C,19.2,48.24,54.6,67.02,0,0,0,38.76,Safe,38.76,50,3 Hours 36 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3173,2026-07-12 08:20:00,Zone B,49.33,49.6,60.93,79.77,0,1,0,45.02,Safe,50.02,50,30 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3174,2026-07-12 08:25:00,Zone C,3.37,86.13,92.51,88.73,0,0,0,48.32,Explosion,93.32,85,25 Minutes,"[""High Temperature"", ""High Pressure""]","[""Emergency relief valve activation"", ""Emergency cooling line engagement""]"
3175,2026-07-12 08:30:00,Zone B,5.21,85.18,84.92,87.42,0,1,0,46.97,Explosion,96.97,90,12 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3176,2026-07-12 08:35:00,Zone C,9.94,87.34,81.68,97.67,0,1,0,45.32,Explosion,95.32,90,30 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3177,2026-07-12 08:40:00,Zone A,24.32,47.34,30.1,73.05,0,0,0,32.18,Safe,32.18,50,3 Hours 47 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3178,2026-07-12 08:45:00,Zone C,5.95,23.9,77.76,81.69,0,1,0,31.48,Safe,36.48,50,2 Hours 26 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3179,2026-07-12 08:50:00,Zone A,10.07,53.81,45.86,95.37,0,0,0,28.59,Safe,28.59,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3180,2026-07-12 08:55:00,Zone B,4.28,52.55,20.47,73.16,0,0,0,26.03,Safe,26.03,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3181,2026-07-12 09:00:00,Zone B,18.89,85.94,80.34,96.06,0,1,0,47.28,Explosion,97.28,90,29 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3182,2026-07-12 09:05:00,Zone C,75.3,63.13,61.23,56.16,1,0,1,60.87,Gas Ignition,95.0,90,17 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3183,2026-07-12 09:10:00,Zone A,19.74,34.66,28.32,72.3,0,0,0,27.6,Safe,27.6,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3184,2026-07-12 09:15:00,Zone A,77.17,38.53,22.68,63.02,1,0,0,43.84,Gas Ignition,83.84,75,33 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3185,2026-07-12 09:20:00,Zone A,88.22,74.25,53.77,76.28,1,0,0,59.99,Gas Ignition,95.0,85,22 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3186,2026-07-12 09:25:00,Zone A,99.25,27.19,34.15,28.5,0,0,1,58.02,Toxic Exposure,90.0,90,15 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3187,2026-07-12 09:30:00,Zone A,7.47,34.2,72.71,73.53,0,0,0,35.22,Safe,35.22,50,3 Hours 16 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3188,2026-07-12 09:35:00,Zone B,1.91,59.88,71.95,91.09,0,0,0,35.66,Safe,35.66,50,2 Hours 5 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3189,2026-07-12 09:40:00,Zone B,17.53,41.29,56.34,83.51,0,0,0,32.91,Safe,32.91,50,2 Hours 33 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3190,2026-07-12 09:45:00,Zone A,22.42,56.43,69.99,82.22,0,0,0,41.65,Safe,41.65,50,2 Hours 33 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3191,2026-07-12 09:50:00,Zone B,21.01,67.67,45.4,87.82,0,0,0,36.56,Safe,36.56,50,2 Hours 59 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3192,2026-07-12 09:55:00,Zone C,13.01,41.22,36.81,59.96,0,1,0,32.77,Safe,37.77,50,2 Hours 39 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3193,2026-07-12 10:00:00,Zone A,79.07,34.24,45.45,94.61,1,0,0,41.04,Gas Ignition,81.04,75,58 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3194,2026-07-12 10:05:00,Zone C,16.56,80.51,89.02,69.94,0,1,0,54.04,Explosion,100.0,90,15 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3195,2026-07-12 10:10:00,Zone B,14.67,32.83,51.92,87.56,0,0,0,27.96,Safe,27.96,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3196,2026-07-12 10:15:00,Zone B,6.85,32.91,30.61,80.59,0,1,0,22.44,Safe,27.44,50,4+ Hours,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3197,2026-07-12 10:20:00,Zone C,3.4,60.53,41.97,66.72,1,0,0,34.8,Safe,39.8,50,2 Hours 21 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3198,2026-07-12 10:25:00,Zone C,1.86,48.41,63.44,75.58,0,0,0,34.53,Safe,34.53,50,2 Hours 36 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3199,2026-07-12 10:30:00,Zone B,11.64,42.8,69.25,67.82,0,0,0,38.97,Safe,38.97,50,3 Hours 33 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3200,2026-07-12 10:35:00,Zone B,28.0,60.69,35.65,95.64,0,0,0,32.17,Safe,32.17,50,3 Hours 17 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3201,2026-07-12 10:40:00,Zone B,12.92,21.19,40.78,91.6,0,0,0,20.82,Safe,20.82,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3202,2026-07-12 10:45:00,Zone A,88.51,65.09,66.4,58.49,1,0,0,65.38,Gas Ignition,95.0,85,26 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3203,2026-07-12 10:50:00,Zone A,3.43,73.31,37.24,62.2,0,1,0,37.95,Safe,42.95,50,2 Hours 19 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3204,2026-07-12 10:55:00,Zone A,72.22,71.58,61.07,94.73,1,0,0,52.53,Gas Ignition,92.53,85,12 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3205,2026-07-12 11:00:00,Zone A,78.71,18.88,43.3,71.47,1,0,1,42.36,Gas Ignition,87.36,90,18 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3206,2026-07-12 11:05:00,Zone C,2.31,82.79,94.86,71.4,0,1,0,52.14,Explosion,100.0,90,14 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3207,2026-07-12 11:10:00,Zone C,5.4,87.35,86.42,59.3,0,1,0,54.97,Explosion,100.0,90,22 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3208,2026-07-12 11:15:00,Zone B,8.94,81.07,84.23,90.14,0,1,0,46.02,Explosion,96.02,90,10 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3209,2026-07-12 11:20:00,Zone C,78.34,42.71,52.33,58.01,1,0,0,53.84,Gas Ignition,93.84,85,19 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3210,2026-07-12 11:25:00,Zone B,4.96,85.32,86.97,92.89,0,1,0,46.09,Explosion,96.09,90,21 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3211,2026-07-12 11:30:00,Zone A,6.21,54.85,39.95,87.49,0,1,0,28.38,Safe,33.38,50,2 Hours 21 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3212,2026-07-12 11:35:00,Zone C,34.55,84.18,80.07,46.52,0,1,0,63.07,Explosion,100.0,90,13 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
3213,2026-07-12 11:40:00,Zone A,76.26,40.36,54.68,81.37,1,0,0,47.48,Gas Ignition,87.48,85,14 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3214,2026-07-12 11:45:00,Zone A,4.43,28.52,67.82,56.89,0,0,0,35.97,Safe,35.97,50,3 Hours 26 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3215,2026-07-12 11:50:00,Zone B,4.39,27.27,50.8,79.64,0,0,0,25.7,Safe,25.7,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3216,2026-07-12 11:55:00,Zone C,2.73,28.69,39.58,68.59,1,0,0,25.6,Safe,30.6,50,10 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3217,2026-07-12 12:00:00,Zone A,3.73,52.68,71.76,79.56,1,0,0,37.15,Safe,42.15,50,2 Hours 38 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3218,2026-07-12 12:05:00,Zone B,5.45,41.25,35.2,84.42,0,0,1,24.37,Safe,29.37,50,4+ Hours,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
3219,2026-07-12 12:10:00,Zone C,4.68,70.33,45.08,43.0,0,1,0,44.27,Safe,49.27,50,2 Hours 2 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3220,2026-07-12 12:15:00,Zone C,1.48,34.52,35.37,86.09,0,0,0,21.32,Safe,21.32,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3221,2026-07-12 12:20:00,Zone A,7.32,44.92,75.34,91.01,0,0,0,34.14,Safe,34.14,50,3 Hours 1 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3222,2026-07-12 12:25:00,Zone B,28.84,39.07,50.28,77.13,0,0,0,35.27,Safe,35.27,50,3 Hours 22 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3223,2026-07-12 12:30:00,Zone C,72.01,57.87,55.28,93.19,1,0,0,48.0,Gas Ignition,88.0,85,19 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3224,2026-07-12 12:35:00,Zone A,20.82,86.54,86.75,80.31,1,0,0,53.45,Explosion,100.0,90,23 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Hot Work Permit""]","[""Emergency relief valve activation"", ""Emergency cooling line engagement"", ""Automated trip of active hot work power lines""]"
3225,2026-07-12 12:40:00,Zone C,13.77,38.96,55.98,58.96,0,0,0,37.44,Safe,37.44,50,2 Hours 59 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3226,2026-07-12 12:45:00,Zone A,5.03,25.58,50.43,77.41,0,0,1,25.91,Safe,30.91,50,22 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
3227,2026-07-12 12:50:00,Zone C,65.17,47.62,58.04,19.43,0,0,1,62.85,Toxic Exposure,90.0,90,24 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3228,2026-07-12 12:55:00,Zone C,81.93,38.11,55.14,26.48,0,0,1,62.18,Toxic Exposure,90.0,90,13 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3229,2026-07-12 13:00:00,Zone B,64.44,63.76,43.13,73.62,1,0,0,49.43,Gas Ignition,89.43,75,22 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3230,2026-07-12 13:05:00,Zone A,6.65,37.96,25.67,70.05,0,0,0,25.06,Safe,25.06,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3231,2026-07-12 13:10:00,Zone A,83.01,30.74,42.88,28.24,0,0,0,57.1,Toxic Exposure,87.1,85,28 Minutes,"[""High Gas Levels"", ""Reduced Ventilation""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)""]"
3232,2026-07-12 13:15:00,Zone A,5.93,48.22,41.28,64.43,0,0,0,32.75,Safe,32.75,50,3 Hours 9 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3233,2026-07-12 13:20:00,Zone C,10.84,25.08,38.11,77.79,1,0,0,24.06,Safe,29.06,50,4+ Hours,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3234,2026-07-12 13:25:00,Zone B,13.21,61.82,59.02,87.56,0,0,0,36.62,Safe,36.62,50,2 Hours 44 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3235,2026-07-12 13:30:00,Zone B,8.51,34.16,57.45,83.6,0,0,0,29.13,Safe,29.13,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3236,2026-07-12 13:35:00,Zone C,72.0,26.41,26.45,83.69,1,0,1,35.29,Gas Ignition,80.29,80,55 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3237,2026-07-12 13:40:00,Zone A,7.27,62.93,58.54,74.21,1,0,0,38.63,Safe,43.63,50,3 Hours 33 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3238,2026-07-12 13:45:00,Zone B,8.5,51.34,63.59,61.06,0,0,0,40.59,Safe,40.59,50,2 Hours 20 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3239,2026-07-12 13:50:00,Zone A,17.35,57.66,48.45,65.9,0,0,0,39.39,Safe,39.39,50,3 Hours 37 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3240,2026-07-12 13:55:00,Zone A,13.85,44.26,21.45,95.47,0,0,0,21.02,Safe,21.02,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3241,2026-07-12 14:00:00,Zone A,3.94,25.77,27.45,95.41,0,0,0,15.44,Safe,15.44,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3242,2026-07-12 14:05:00,Zone C,13.47,33.09,63.64,35.93,0,0,0,43.57,Safe,43.57,50,3 Hours 26 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3243,2026-07-12 14:10:00,Zone B,71.34,38.33,65.16,85.75,1,0,0,47.27,Gas Ignition,87.27,85,22 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3244,2026-07-12 14:15:00,Zone C,19.67,30.52,79.79,58.61,1,0,0,42.84,Safe,47.84,50,3 Hours 32 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3245,2026-07-12 14:20:00,Zone A,5.39,70.49,50.79,66.68,0,0,0,40.0,Safe,40.0,50,2 Hours 3 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3246,2026-07-12 14:25:00,Zone C,78.4,45.41,47.17,89.99,1,0,0,45.25,Gas Ignition,85.25,85,11 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3247,2026-07-12 14:30:00,Zone B,9.14,39.89,33.27,81.45,0,0,0,25.21,Safe,25.21,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
3248,2026-07-12 14:35:00,Zone C,61.91,64.28,42.44,58.14,1,0,0,52.62,Gas Ignition,92.62,75,24 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
3249,2026-07-12 14:40:00,Zone C,7.08,86.2,81.61,42.29,1,1,0,58.15,Explosion,100.0,90,23 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Hot Work Permit"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement"", ""Automated trip of active hot work power lines""]"
3250,2026-07-12 14:45:00,Zone C,75.87,52.73,27.14,75.84,1,0,0,44.98,Gas Ignition,84.98,75,35 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
3251,2026-07-12 14:50:00,Zone A,77.88,47.88,40.81,27.81,0,0,1,59.69,Toxic Exposure,90.0,90,11 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3252,2026-07-12 14:55:00,Zone B,4.17,54.5,35.4,89.5,0,1,0,26.14,Safe,31.14,50,3 Hours 57 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3253,2026-07-12 15:00:00,Zone B,98.47,45.01,42.58,72.85,0,0,0,53.3,Gas Ignition,88.3,75,13 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
3254,2026-07-12 15:05:00,Zone A,74.68,42.24,45.15,42.93,0,0,1,54.78,Toxic Exposure,89.78,85,10 Minutes,"[""High Gas Levels"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
3255,2026-07-12 15:10:00,Zone B,31.14,47.9,29.99,91.22,0,0,0,29.45,Safe,29.45,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
